"Photo","Location","label_number","box_type","Photo_src","GPSLatitude","GPSLongitude","Survey_run","Google_Photos_Link"
"IMG_0125_B","Craigbo Road (bottom)","","other","Photos/JPEGs/IMG_0125_B.jpg",55.9023,-4.2926,"B","https://photos.google.com/photo/AF1QipMylKDKtaRQQz9IB7f4VqBVGh1mXdd5mjBvpDn6"
"IMG_0126_B","Craigbo Road (bottom)","","2","Photos/JPEGs/IMG_0126_B.jpg",55.9023,-4.2926,"B","https://photos.google.com/photo/AF1QipM3qPU9-42ZB-LVxLg8elij9UGcryv5b_jGQLK_"
"IMG_0127_B","Chatton Street","","2","Photos/JPEGs/IMG_0127_B.jpg",55.9028,-4.294,"B","https://photos.google.com/photo/AF1QipNXjN4xMqhpRC3CSBYou1u2IoQh58Fvuc2iIex5"
"IMG_0128_B","Chatton Street","","other","Photos/JPEGs/IMG_0128_B.jpg",55.9027,-4.2943,"B","https://photos.google.com/photo/AF1QipOg60mcmU2vENIIaC6NJNMQNxDY80wPLXVeLp-5"
"IMG_0129_B","Littleton Street","","3","Photos/JPEGs/IMG_0129_B.jpg",55.9023,-4.2955,"B","https://photos.google.com/photo/AF1QipMVI31Jf7V-4sr8ZFFSwA5uAUKnlWcCi-2KYAaQ"
"IMG_0129_E","Arrochar Street","","other","Photos/JPEGs/IMG_0129_E.jpg",55.9035,-4.2895,"E","https://photos.google.com/photo/AF1QipPlU6vrHDqt6si6NO24gc_bv2xnpIUuO1499PWc"
"IMG_0130_E","Littleton Street","GLA 8 PN102 SN3","1","Photos/JPEGs/IMG_0130_E.jpg",55.9036,-4.2895,"E","https://photos.google.com/photo/AF1QipN55zyLHbm0mVjrJ9u8JZ3BKSf4x_QWQybmTSIy"
"IMG_0131_E","Forres Street","","other","Photos/JPEGs/IMG_0131_E.jpg",55.9038,-4.2884,"E","https://photos.google.com/photo/AF1QipO7fS5iSRiE5RYOoRoY2fRmepEHCwgjcI1cKifS"
"IMG_0131_B","Littleton Drive (behind shop)","","2","Photos/JPEGs/IMG_0131_B.jpg",55.9024,-4.2969,"B","https://photos.google.com/photo/AF1QipMv-5X3DWe2kPoEA3PdgKjLPHIFcv8pzdRLLXGx"
"IMG_0132_E","Sconser Street","","2","Photos/JPEGs/IMG_0132_E.jpg",55.9045,-4.2879,"E","https://photos.google.com/photo/AF1QipM-Nx9PSVzWJmwwbbsufYCdORnch1jWpjbGLvwO"
"IMG_0132_B","Rothes Drive","GLA 8 PN102 SN1","1","Photos/JPEGs/IMG_0132_B.jpg",55.9022,-4.2972,"B","https://photos.google.com/photo/AF1QipMBl83LcYzD0PzYinKst_waPYjSQFivTkqlQ5P3"
"IMG_0133_E","Invershield Road","GLA8 PN107 SN3","1","Photos/JPEGs/IMG_0133_E.jpg",55.905,-4.2872,"E","https://photos.google.com/photo/AF1QipOI_GhCKP6O_K2RuiCNbcll0qwK_1VcUpONDsKb"
"IMG_0133_B","Rothes Drive","","2","Photos/JPEGs/IMG_0133_B.jpg",55.9021,-4.2975,"B","https://photos.google.com/photo/AF1QipP6VgBlbI8r9nmvGanw3d-h42un0VY09qCHF3jI"
"IMG_0134_E","Letterfearn Drive","","other","Photos/JPEGs/IMG_0134_E.jpg",55.9057,-4.2888,"E","https://photos.google.com/photo/AF1QipMRx9fyugujE--F9JprjRf0dBgAnIX-42y7zHyI"
"IMG_0134_B","Rothes Drive","","other","Photos/JPEGs/IMG_0134_B.jpg",55.9021,-4.2975,"B","https://photos.google.com/photo/AF1QipNr9h3ZazE6mPkGaAY-0iGKS-ztScgAFVi_Ejdu"
"IMG_0135_B","Caldercuilt Road/Rothes Drive","","other","Photos/JPEGs/IMG_0135_B.jpg",55.9023,-4.2977,"B","https://photos.google.com/photo/AF1QipPh-Pisa9TKOdBnrTidOWyP-c5SzpyQ-ZBLvwCJ"
"IMG_0135_E","Letterfearn Drive","","other","Photos/JPEGs/IMG_0135_E.jpg",55.906,-4.2885,"E","https://photos.google.com/photo/AF1QipOpyi-vC4_ukkVt_k4tQ8Sj0NJbg2FTg6wl5Sbr"
"IMG_0136_E","Letterfearn Drive","","2","Photos/JPEGs/IMG_0136_E.jpg",55.9061,-4.2885,"E","https://photos.google.com/photo/AF1QipNl9VBwWG_ArLIQxgJVYLgP3bPZ0hZ_kYuWJMPS"
"IMG_0136_B","Caldercuilt Road","","other","Photos/JPEGs/IMG_0136_B.jpg",55.9013,-4.2982,"B","https://photos.google.com/photo/AF1QipPnHNKm4c3PstC_vIoPnQ5CC57Agq0sR4eNhgx7"
"IMG_0137_E","Letterfearn Drive","GLA8 PN107 SN5","1","Photos/JPEGs/IMG_0137_E.jpg",55.9062,-4.2869,"E","https://photos.google.com/photo/AF1QipM7eOiSYmJiaCqFcCebtYOag_5rmSXvR-1ZgGAd"
"IMG_0137_B","Caldercuilt Grove","GDP6090","other","Photos/JPEGs/IMG_0137_B.jpg",55.9013,-4.298,"B","https://photos.google.com/photo/AF1QipODq5bucjXvDdTeqlv0HxiLDCSd1klkETKpRYTa"
"IMG_0138_E","Letterfearn Drive","","3","Photos/JPEGs/IMG_0138_E.jpg",55.9061,-4.2864,"E","https://photos.google.com/photo/AF1QipPllKEnnJ31XLu3OlgK9gpX37nTM64lz6iO4elt"
"IMG_0138_B","Caldercuilt Grove","","other","Photos/JPEGs/IMG_0138_B.jpg",55.9016,-4.2978,"B","https://photos.google.com/photo/AF1QipNRkW-be53WeTEvvko-PTsmUYx4QSeTRLILyCFr"
"IMG_0139_E","Caldercuilt Road","","other","Photos/JPEGs/IMG_0139_E.jpg",55.9062,-4.2875,"E","https://photos.google.com/photo/AF1QipMiSEu87DwL3_QzKUds0lsBfXxU_EvfjJnBKw8k"
"IMG_0140_E","Blackhill Court","GLA8 PN106 SN5","1","Photos/JPEGs/IMG_0140_E.jpg",55.907,-4.2891,"E","https://photos.google.com/photo/AF1QipPHBabHNn6BPT6lpFka3qeItzx2XQp8wXNVIll_"
"IMG_0140_B","Drumlaken Street/Drumlaken Ave","","2","Photos/JPEGs/IMG_0140_B.jpg",55.9031,-4.2972,"B","https://photos.google.com/photo/AF1QipNzITzBvS7rGQNuepoNNAKDZhgK2uXb4wZ9V61U"
"IMG_0141_B","Caldercuilt Road","GLA 8 PN102 SN4","1","Photos/JPEGs/IMG_0141_B.jpg",55.9034,-4.2968,"B","https://photos.google.com/photo/AF1QipNk1nPMd4PPV2FyUq0XGx1TP7ab-y46pUGPcRDl"
"IMG_0141_E","Blackhill Crescent","","other","Photos/JPEGs/IMG_0141_E.jpg",55.907,-4.2881,"E","https://photos.google.com/photo/AF1QipNUYtN29ct0XxZa9nowLaWp0edvx1iGJie3Pc9E"
"IMG_0142_E","Blackhill Crescent","GLA8 PN106 SN6","1","Photos/JPEGs/IMG_0142_E.jpg",55.9068,-4.2852,"E","https://photos.google.com/photo/AF1QipMTutROw6k7t2uaa9rgJVaCnVFB56wy5vj89jTv"
"IMG_0142_B","Drumlaken Street/Drumlaken Street","","other","Photos/JPEGs/IMG_0142_B.jpg",55.903,-4.2977,"B","https://photos.google.com/photo/AF1QipPoh_Itj5-vjOVRTBDkt290YankCZb4putcmtkO"
"IMG_0143_B","Arrochar Street","","3","Photos/JPEGs/IMG_0143_B.jpg",55.9035,-4.2968,"B","https://photos.google.com/photo/AF1QipOVqKVzlarsoFZlzC6bbUghT9XJCtU_U7JRrcoH"
"IMG_0143_E","Blackhill Road","","2","Photos/JPEGs/IMG_0143_E.jpg",55.9074,-4.2896,"E","https://photos.google.com/photo/AF1QipNpAVI_lpKUTWX21I_Vg38OEdhRbJSJBxcaFpWP"
