"Filename","Google_Photos_Link","GPSLatitude","GPSLongitude","Survey_run"
"IMG_0354_C","https://photos.google.com/photo/AF1QipMLTSw-Hnt-yNIqhvO2XvSw9gWx6zysFgNCHttU",55.9041,-4.2914,"C"
"IMG_0355_C","https://photos.google.com/photo/AF1QipPCbb2_XI1xWOlWHaBaLd0200PYmkrKFw_9k7ed",55.9037,-4.2895,"C"
"IMG_0038_D","https://photos.google.com/photo/AF1QipPOBgb4Xx6HSNaeBWhxqaTmTKC1DAuC7v0wjerM",55.9006,-4.2977,"D"
"IMG_0039_D","https://photos.google.com/photo/AF1QipMx32rs3_DcCeIru2SYIa1fLhcwUwthZCiqJiv7",55.9009,-4.3013,"D"
"IMG_0040_D","https://photos.google.com/photo/AF1QipPY7SWoWZg85osIz3TIWFfeB6FboDvAC7gCEGrw",55.8984,-4.3014,"D"
"IMG_0041_D","https://photos.google.com/photo/AF1QipNz2OCevwYzWndOHqhQrEi3UoSPSnfBjasW5eV1",55.8982,-4.3007,"D"
"IMG_0042_D","https://photos.google.com/photo/AF1QipOYMHqEC-3ge5WZwcNUpj_4rEWu9SGeBaNJqm8u",55.8982,-4.3005,"D"
"IMG_0043_D","https://photos.google.com/photo/AF1QipM0nmtPV92GDJvVSVIPqjTFFVR9gNg3V4a2gPGi",55.8981,-4.3005,"D"
"IMG_0044_D","https://photos.google.com/photo/AF1QipNOOCN3B8o9QmhSGs24xzmGQ5JMl3kdZvIGkAzw",55.8986,-4.2999,"D"
"IMG_0045_D","https://photos.google.com/photo/AF1QipNXbDdN0FBaJb2Dsk43rjDyhLD1I-1fJ8EGCX6l",55.8992,-4.2997,"D"
"IMG_0046_D","https://photos.google.com/photo/AF1QipPqBxV-o3NSKdBc1vOuuFXQphKaM0er3cvPV7hi",55.8996,-4.2989,"D"
"IMG_0047_D","https://photos.google.com/photo/AF1QipMmgbaOLFxmXrkm0SvNi0BUgL4ckzheCwNEQ8dL",55.8996,-4.2996,"D"
"IMG_0048_D","https://photos.google.com/photo/AF1QipMtttmTlAxmn03EbQZALA7hMRHHL54buWGJKTTe",55.8998,-4.2998,"D"
"IMG_0049_D","https://photos.google.com/photo/AF1QipPbXCPiL_UOo2tHssgMxlZmkKme8ikJaAe8CsZu",55.9,-4.2997,"D"
"IMG_0050_D","https://photos.google.com/photo/AF1QipMMfoMA_V57WSDN6bvhwNXkjLIZZ4fKNCOgORuz",55.9002,-4.2998,"D"
"IMG_0051_D","https://photos.google.com/photo/AF1QipNj0w89YLH3WrPJGlY6Eq9AMH7SzlwdJCwH3uTC",55.9003,-4.2998,"D"
"IMG_0052_D","https://photos.google.com/photo/AF1QipNKGlXWgTAe4dxZT_uENeynFbXHrR229tMyWZ2C",55.8988,-4.2981,"D"
"IMG_0053_D","https://photos.google.com/photo/AF1QipPCFtnH3DXTY47fZGInJDbcN83bLYe2lDAkPhUS",55.8992,-4.2979,"D"
"IMG_0054_D","https://photos.google.com/photo/AF1QipMk5ikOUvyHZ-izD5oxDjSLkCHIfI3wBKEaABk9",55.8994,-4.2979,"D"
"IMG_0055_D","https://photos.google.com/photo/AF1QipM_arh51o_lglgIToypuICc3XKR48M_GR4E-giw",55.8998,-4.2976,"D"
"IMG_0056_D","https://photos.google.com/photo/AF1QipNBsH6c00FULNF9HwPwp4OSk3dXugmnvZyz32Ea",55.9001,-4.2971,"D"
"IMG_0057_D","https://photos.google.com/photo/AF1QipOPVguaMjMUpTsywcQeM4U916NQPaFRPxMOAgZn",55.9001,-4.297,"D"
"IMG_0058_D","https://photos.google.com/photo/AF1QipN0zc2E3O8tT5eDUSAasT8J3GiV02KACodzFsCF",55.9,-4.297,"D"
"IMG_0059_D","https://photos.google.com/photo/AF1QipOyt3Qf5LdLpQ6Co8oUI_yNjiiLX2CHVpnhhvTe",55.9008,-4.2978,"D"
"IMG_0060_D","https://photos.google.com/photo/AF1QipMuZKsZ6DH_lvOZG0UGvH9OMWjq9fZ66_sm4_h8",55.9,-4.294,"D"
"IMG_0061_D","https://photos.google.com/photo/AF1QipPgzBZcBP2Ie3ZQGcDpTb-sO5jNUcPwF1w2jwHx",55.8997,-4.2936,"D"
"IMG_0062_D","https://photos.google.com/photo/AF1QipOGy9siaQZ9kTu9cOmH7o_Sj6uPkxRg06PzYRc8",55.8997,-4.2933,"D"
"IMG_0063_D","https://photos.google.com/photo/AF1QipM_tieJref8F4N68eUY8x3rlKVwOkRbgEhAoL4G",55.8997,-4.293,"D"
"IMG_0064_D","https://photos.google.com/photo/AF1QipPoRLYfoU7bXwMqlWPJNEEQT19RXCxAJpXgWC8L",55.8999,-4.2879,"D"
"IMG_0065_D","https://photos.google.com/photo/AF1QipMNjhAv-bPzh-8q_EaygtBQUB88cZnFZsk9pSPY",55.9,-4.288,"D"
"IMG_0066_D","https://photos.google.com/photo/AF1QipPcGL0tJG9wA_WhY2m_swJENx73KXbw-Al_xij4",55.9006,-4.2882,"D"
"IMG_0067_D","https://photos.google.com/photo/AF1QipPZaydNP2c2F4ukLAIOjVexs_IptuV-tRFTfdfb",55.9008,-4.288,"D"
"IMG_0068_D","https://photos.google.com/photo/AF1QipOmbDh87qPjN_yq7hF4g0eLclXzCNy68SsJj6jo",55.9014,-4.2881,"D"
"IMG_0069_D","https://photos.google.com/photo/AF1QipMjYp1oX_oFk6vS2WlVNFg5576y4pgOPJbL_dbm",55.8996,-4.2874,"D"
"IMG_0070_D","https://photos.google.com/photo/AF1QipOhiId4LMUV0Yqmpc0xbeGHnf6oq7Wf9A80KjpQ",55.9008,-4.2866,"D"
"IMG_0071_D","https://photos.google.com/photo/AF1QipMKAPPjUeZtGZDtIkmrlWLXkB5iIvDlyChCGKqM",55.9009,-4.2866,"D"
"IMG_0072_D","https://photos.google.com/photo/AF1QipOOwGH9U3NLi0lBfRJLBBrQ5YlXWywpvuIe0Bre",55.901,-4.2864,"D"
"IMG_0073_D","https://photos.google.com/photo/AF1QipOYixyyrU738jHc11EDyiS-XVzHy4uw938cOJOb",55.9009,-4.2864,"D"
"IMG_0074_D","https://photos.google.com/photo/AF1QipP0FRIwdv__K0Q8AFF68auOAQ1xy2jxRAc_qsH8",55.9007,-4.2859,"D"
"IMG_0075_D","https://photos.google.com/photo/AF1QipMHNBCq50yVkOx88hU0OfMVmykEOUgFmUiGNLla",55.9008,-4.2857,"D"
