photo_filename,Location,label_number,box_type,Photo_src
IMG_0135,Caldercuilt Road/Rothes Drive,,other,Photos/JPEGs/IMG_0135_B.jpg
IMG_0135,Letterfearn Drive,,other,Photos/JPEGs/IMG_0135_E.jpg
IMG_0136,Letterfearn Drive,,2,Photos/JPEGs/IMG_0136_E.jpg
IMG_0136,Caldercuilt Road,,other,Photos/JPEGs/IMG_0136_B.jpg
IMG_0137,Letterfearn Drive,GLA8 PN107 SN5,1,Photos/JPEGs/IMG_0137_E.jpg
IMG_0137,Caldercuilt Grove,GDP6090,other,Photos/JPEGs/IMG_0137_B.jpg
IMG_0138,Letterfearn Drive,,3,Photos/JPEGs/IMG_0138_E.jpg
IMG_0138,Caldercuilt Grove,,other,Photos/JPEGs/IMG_0138_B.jpg
IMG_0139,Caldercuilt Road,,other,Photos/JPEGs/IMG_0139_E.jpg
IMG_0140,Blackhill Court,GLA8 PN106 SN5,1,Photos/JPEGs/IMG_0140_E.jpg
IMG_0140,Drumlaken Street/Drumlaken Ave,,2,Photos/JPEGs/IMG_0140_B.jpg
IMG_0141,Caldercuilt Road,GLA 8 PN102 SN4,1,Photos/JPEGs/IMG_0141_B.jpg
IMG_0141,Blackhill Crescent,,other,Photos/JPEGs/IMG_0141_E.jpg
IMG_0142,Blackhill Crescent,GLA8 PN106 SN6,1,Photos/JPEGs/IMG_0142_E.jpg
IMG_0142,Drumlaken Street/Drumlaken Street,,other,Photos/JPEGs/IMG_0142_B.jpg
IMG_0143,Arrochar Street,,3,Photos/JPEGs/IMG_0143_B.jpg
IMG_0143,Blackhill Road,,2,Photos/JPEGs/IMG_0143_E.jpg
IMG_0144,Blackhill Gardens,29,other,Photos/JPEGs/IMG_0144_E.jpg
IMG_0144,Arrochar Street,,other,Photos/JPEGs/IMG_0144_B.jpg
IMG_0145,Blackhill Gardens,,other,Photos/JPEGs/IMG_0145_E.jpg
IMG_0145,Arrochar Street,,3,Photos/JPEGs/IMG_0145_B.jpg
IMG_0146,Chatton Street,GLA 8 PN102 SN5,1,Photos/JPEGs/IMG_0146_B.jpg
IMG_0146,Blackhill Gardens,GLA8 PN106 SN3,1,Photos/JPEGs/IMG_0146_E.jpg
IMG_0147,Drumlaken Place,GLA 8 PN102 SN6,1,Photos/JPEGs/IMG_0147_B.jpg
IMG_0147,Blackhill Gardens,,other,Photos/JPEGs/IMG_0147_E.jpg
IMG_0148,Drumlaken Place,102502253,other,Photos/JPEGs/IMG_0148_B.jpg
IMG_0148,Blackhill Gardens,GLA8 PN106 SN4,1,Photos/JPEGs/IMG_0148_E.jpg
IMG_0150,Drumlaken Place,,3,Photos/JPEGs/IMG_0150_B.jpg
IMG_0323,Arrochar Street/Torrin Road,GLA 8 PN102 SN7,1,Photos/JPEGs/IMG_0323_C.jpg
IMG_0324,Arrochar Street/Torrin Road,,2,Photos/JPEGs/IMG_0324_C.jpg
IMG_0325,Ardessie Street,,other,Photos/JPEGs/IMG_0325_C.jpg
IMG_0326,Ardessie Street,,2,Photos/JPEGs/IMG_0326_C.jpg
IMG_0327,Carnoch Street,GLA 8 PN102 SN8,1,Photos/JPEGs/IMG_0327_C.jpg
IMG_0328,Torrin Road,GLA 7 PN102 SN9,1,Photos/JPEGs/IMG_0328_C.jpg
IMG_0329,Torrin Road,,3,Photos/JPEGs/IMG_0329_C.jpg
IMG_0330,Milovaig Street,GLA 8 PN102 SN10,1,Photos/JPEGs/IMG_0330_C.jpg
IMG_0331,Milovaig Street,,3,Photos/JPEGs/IMG_0331_C.jpg
IMG_0332,NA,,3,Photos/JPEGs/IMG_0332_C.jpg
IMG_0333,NA,,other,Photos/JPEGs/IMG_0333_C.jpg
IMG_0334,NA,GLA 8 PN106 SN2,1,Photos/JPEGs/IMG_0334_C.jpg
IMG_0335,NA,,2,Photos/JPEGs/IMG_0335_C.jpg
IMG_0336,NA,GLA 8 PN106,1,Photos/JPEGs/IMG_0336_C.jpg
IMG_0337,NA,GLA 8 PN107 SN2,1,Photos/JPEGs/IMG_0337_C.jpg
IMG_0338,NA,,3,Photos/JPEGs/IMG_0338_C.jpg
IMG_0339,NA,,other,Photos/JPEGs/IMG_0339_C.jpg
IMG_0340,NA,,2,Photos/JPEGs/IMG_0340_C.jpg
IMG_0341,NA,GLA 8 PN107 SN1,1,Photos/JPEGs/IMG_0341_C.jpg
IMG_0342,NA,GLA 8 PN105 SN7,1,Photos/JPEGs/IMG_0342_C.jpg
IMG_0343,NA,,2,Photos/JPEGs/IMG_0343_C.jpg
IMG_0344,NA,GLA 8 PN106 SN1,1,Photos/JPEGs/IMG_0344_C.jpg
IMG_0345,NA,,3,Photos/JPEGs/IMG_0345_C.jpg
IMG_0346,NA,,other,Photos/JPEGs/IMG_0346_C.jpg
IMG_0347,NA,,3,Photos/JPEGs/IMG_0347_C.jpg
IMG_0348,NA,,2,Photos/JPEGs/IMG_0348_C.jpg
IMG_0349,NA,GLA 8 PN105 SN9,1,Photos/JPEGs/IMG_0349_C.jpg
IMG_0350,NA,,other,Photos/JPEGs/IMG_0350_C.jpg
IMG_0351,NA,,other,Photos/JPEGs/IMG_0351_C.jpg
IMG_0352,NA,,other,Photos/JPEGs/IMG_0352_C.jpg
IMG_0353,NA,GLA 8 PN105 SN8,1,Photos/JPEGs/IMG_0353_C.jpg
IMG_0354,NA,,3,Photos/JPEGs/IMG_0354_C.jpg
IMG_0355,NA,GLA 8 PN105 SN6,1,Photos/JPEGs/IMG_0355_C.jpg
IMG_9962,Rothes Drive,GLA 8 PN103 SN2,1,Photos/JPEGs/IMG_9962_A.jpg
IMG_9963,Rothes Drive,,other,Photos/JPEGs/IMG_9963_A.jpg
IMG_9964,Rothes Drive,GLA 8 PN103 SN7,1,Photos/JPEGs/IMG_9964_A.jpg
IMG_9965,Rothes Drive,,other,Photos/JPEGs/IMG_9965_A.jpg
IMG_9966,Rothes Drive,,other,Photos/JPEGs/IMG_9966_A.jpg
